CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
1000246,'BRAND','Madhouse by Michael Aram' ,11
1000246,'BRAND','Oscar de la Renta',12
1001541,'BRAND','Michael Aram',1
1001541,'BRAND','Nambé' ,2
1001541,'BRAND','Baccarat',3
1001541,'BRAND','Bernardaud',4
1001541,'BRAND','Waterford',5
1001541,'BRAND','Lalique',6
1001541,'BRAND','kate spade new york',7
1001541,'BRAND','Juliska',8
1001541,'BRAND','Kosta Boda',9
1001541,'BRAND','William Yeoward',10
1001541,'BRAND','Villeroy & Boch',11
1001541,'BRAND','Christofle',12
1001542,'BRAND','Michael Aram',1
1001542,'BRAND','Votivo',2
1001542,'BRAND','Voluspa',3
1001542,'BRAND','Archipelago',4
1001542,'BRAND','Waterford',5
1001542,'BRAND','Baccarat',6
1001542,'BRAND','kate spade new york',7
1001542,'BRAND','Juliska',8
1001542,'BRAND','Kosta Boda',9
1001542,'BRAND','William Yeoward',10
1001542,'BRAND','Villeroy & Boch',11
1001542,'BRAND','NEST Fragrances',12
1001543,'BRAND','Michael Aram',1
1001543,'BRAND','Nambé' ,2
1001543,'BRAND','Baccarat',3
1001543,'BRAND','Bernardaud',4
1001543,'BRAND','Waterford',5
1001543,'BRAND','Lalique',6
1001543,'BRAND','kate spade new york',7
1001543,'BRAND','Juliska',8
1001543,'BRAND','Kosta Boda',9
1001543,'BRAND','William Yeoward',10
1001543,'BRAND','Villeroy & Boch',11
1001543,'BRAND','Christofle',12
1001544,'BRAND','Waterman',1
1001544,'BRAND','BOSCA,2
1001544,'BRAND','Lily Pulitzer,3
1001544,'BRAND','Sugar Paper,4
1001544,'BRAND','Montblanc',5
1001544,'BRAND','kate spade new york',6
1001544,'BRAND','Crane & Co',7
1001544,'BRAND','Montegrappa,8
1001544,'BRAND','kate spade new york',9
1001544,'BRAND','Ralph Lauren',10
1001544,'BRAND','Waterford',11
1001544,'BRAND','Lalique',12
1001545,'BRAND','Christopher Radko,1
1001545,'BRAND','Bloomingdale's',2
1001545,'BRAND','Joy to the World,3
1001545,'BRAND','Karen Didion Originals,4
1001545,'BRAND','Landmark Creations,5
1001545,'BRAND','Patience Brewster,6
1001545,'BRAND','Michael Aram',7
1001545,'BRAND','kate spade new york',8
1001545,'BRAND','Baccarat',9
1001545,'BRAND','Lalique',10
1001545,'BRAND','Orrefors',11
1001545,'BRAND','Juliska',12
1001547,'BRAND','Michael Aram',1
1001547,'BRAND','Nambé' ,2
